mid_min,mid_max,mid_mean,mid_median,mid_mode,mid_stdev,mid_variance,mid_pstdev,mid_pvariance,mid_quantiles
6,137,57.70175438596491,56.5,51,18.462077767113943,340.8483154789629,18.38092538407034,337.85841797476144,"[48.75, 56.5, 64.0]"
5,98,35.09489051094891,36.0,46,17.847344180280565,318.5276942893946,17.782088590012386,316.20267462304867,"[21.5, 36.0, 46.0]"
5,124,29.66,27.0,22,17.140489369878743,293.79637583892617,17.083258861626295,291.83773333333335,"[17.0, 27.0, 39.0]"
7,90,43.49166666666667,43.0,35,14.372005838459998,206.55455182072828,14.311997201260517,204.8332638888889,"[33.25, 43.0, 53.0]"
6,67,29.50877192982456,28.0,27,12.097133145373915,146.3406303369042,12.043958676328428,145.0569405971068,"[22.75, 28.0, 36.0]"
5,243,30.874015748031496,29.0,10,24.530833246702564,601.7617797775279,24.434064296530696,597.0234980469961,"[19.0, 29.0, 37.0]"
6,418,50.3739837398374,51.0,59,37.93445563288958,1439.0229241636678,37.77993582308582,1427.3235507964837,"[38.0, 51.0, 60.0]"
27,102,59.93457943925234,60.0,74,11.876940578707098,141.06171751013932,11.821310574620453,139.74338370163332,"[51.0, 60.0, 68.0]"
9,134,41.89344262295082,39.0,39,21.77602266845374,474.19516325701125,21.686593039399803,470.3083176565439,"[30.0, 39.0, 48.25]"
