at20_s18_l,is20_18_l
53,111
49,102
49,94
62,92
67,99
57,94
66,82
79,93
70,84
67,100
68,91
69,129
49,123
55,113
47,111
48,107
49,106
41,105
55,117
43,105
55,113
50,104
81,116
50,116
50,98
65,107
41,110
58,105
67,104
91,121
79,108
37,99
61,111
53,111
55,100
64,104
66,104
62,110
72,98
71,122
58,118
69,126
46,127
50,135
41,121
55,118
71,103
69,125
67,113
75,115
61,119
49,140
61,123
72,122
56,116
55,112
57,122
70,112
56,116
41,110
73,133
72,118
58,116
56,142
34,144
28,127
57,127
41,129
56,116
55,111
70,128
64,123
56,134
62,133
53,125
47,129
40,116
64,126
50,126
58,129
42,118
63,141
47,142
64,126
78,92
81,130
74,134
71,109
71,111
69,123
57,127
58,127
61,117
63,142
56,130
65,136
82,127
69,129
64,145
47,139
46,147
33,141
55,129
62,116
72,134
54,124
99,110
91,126
92,129
63,111
86,127
84,129
86,119
73,117
