at20_s10_r,is20_s10_r
70,94
90,107
53,100
72,88
63,98
55,89
45,102
70,88
55,101
55,88
57,107
80,88
39,106
82,90
66,94
61,103
80,81
69,98
61,98
49,103
78,115
40,123
73,114
63,102
58,100
64,94
79,105
41,112
72,95
85,70
61,123
45,109
55,125
27,127
53,115
49,112
50,121
36,115
70,221
69,107
61,93
63,108
57,105
60,97
41,99
51,99
78,95
65,96
73,88
63,117
70,104
68,82
86,90
74,86
77,87
90,95
77,108
68,102
58,104
61,97
70,83
88,83
46,106
64,97
84,57
117,123
67,102
71,136
31,115
82,113
63,110
64,100
78,94
78,104
66,110
68,104
64,113
75,99
53,112
76,125
74,107
79,103
82,116
76,111
65,117
60,118
78,125
72,119
65,123
75,117
70,128
64,112
77,110
74,115
27,205
75,110
78,59
86,120
75,87
102,112
89,114
84,105
61,152
94,107
82,107
81,104
90,105
90,110
98,101
68,102
66,102
100,93
81,111
86,111
76,81
84,131
45,141
98,152
44,143
62,112
51,95
77,112
64,136
90,102
82,115
81,93
71,123
103,134
49,144
76,104
58,102
82,82
53,153
56,135
70,119
70,114
78,139
45,111
79,76
82,115
72,120
96,131
60,84
78,141
31,120
