at20_s15_r,is20_s15_r
80,80
67,82
66,86
33,168
80,75
70,70
102,89
79,69
82,75
69,73
86,81
75,69
82,76
85,54
97,71
64,91
85,98
71,78
85,75
64,63
84,50
58,28
86,69
87,58
85,86
70,73
78,84
72,76
73,82
76,80
82,79
67,98
65,8
66,86
86,57
102,96
72,86
76,94
74,69
72,87
73,84
80,80
79,66
110,67
73,94
70,89
74,74
82,94
54,96
88,82
82,73
82,103
53,90
111,106
90,98
70,103
49,94
73,85
59,98
79,122
55,25
23,98
62,81
91,81
79,96
59,100
84,98
69,93
76,82
70,121
30,127
106,99
78,86
61,91
105,87
88,97
114,71
80,88
68,96
84,178
92,98
99,131
54,110
87,94
77,96
57,105
96,110
52,123
41,45
89,91
90,100
101,71
76,123
49,18
101,108
43,143
95,90
95,127
142,87
87,148
50,145
110,60
83,163
87,107
68,98
76,238
136,99
76,114
57,123
74,174
55,78
135,107
49,119
92,77
89,240
135,80
126,64
99,121
68,120
131,202
117,84
130,142
47,29
