at20_s1_r,is20_s1_r
32,148
28,170
10,166
6,154
10,157
11,149
7,161
6,152
12,148
8,141
8,148
6,133
10,158
6,153
44,143
29,152
11,142
10,156
12,148
14,146
7,155
13,144
12,155
9,137
22,145
9,153
13,144
11,107
16,81
26,155
13,139
25,154
10,146
9,142
22,152
12,156
8,158
5,148
8,165
8,152
11,148
12,141
14,162
10,154
6,154
6,170
6,165
11,142
10,157
13,146
15,159
9,162
9,146
15,173
8,153
22,138
22,157
11,142
34,142
18,146
28,148
26,129
39,117
35,153
23,133
47,143
25,133
35,153
21,160
22,113
64,120
43,145
35,130
42,140
40,163
7,152
28,146
41,132
36,158
10,158
48,148
31,134
38,128
40,140
32,145
40,140
53,152
31,145
26,146
15,159
27,154
20,154
20,145
28,146
17,160
7,163
12,148
14,139
23,153
9,135
30,157
28,160
24,131
37,143
39,151
27,131
41,130
35,159
33,154
7,144
60,95
50,145
29,153
32,136
24,128
42,115
49,134
42,150
39,142
38,142
22,235
