at20_s22_l,is20_22_l
41,71
89,83
64,72
72,81
74,80
68,80
71,72
76,66
81,72
88,58
85,88
76,76
84,92
75,86
79,78
96,78
89,81
85,83
69,82
86,80
92,52
108,67
77,83
82,76
91,75
100,71
97,55
84,57
98,87
86,57
90,71
85,81
66,96
60,86
94,73
95,83
102,49
114,87
98,82
97,86
95,84
93,74
93,83
93,84
100,90
104,82
81,100
84,82
90,75
93,74
90,87
99,82
109,76
100,84
100,71
109,87
102,74
69,106
99,96
105,89
95,82
102,92
113,88
113,92
108,95
114,75
106,71
101,88
97,79
119,92
99,90
104,70
111,99
98,78
98,107
69,101
76,107
83,74
100,91
98,73
103,88
108,87
110,96
98,86
131,94
105,70
102,89
95,112
82,93
104,85
102,95
89,77
115,79
102,83
105,82
98,105
92,113
96,86
119,86
96,82
108,100
110,91
113,85
90,113
81,83
125,85
97,90
104,93
97,110
68,102
23,101
118,86
127,66
106,80
82,91
93,113
84,103
81,100
113,99
114,66
107,95
115,83
99,108
113,91
81,104
112,81
125,82
