at20_s14_r,is20_s14_r
68,103
85,96
64,109
71,115
77,103
57,105
75,98
75,94
73,112
73,113
79,112
88,93
100,99
94,100
92,102
82,109
84,115
70,115
69,121
78,85
109,119
77,102
79,73
132,110
106,95
86,115
89,126
64,134
70,113
71,119
74,122
62,145
58,114
68,121
67,128
84,95
103,103
77,151
54,140
58,138
65,113
84,108
88,109
84,121
92,79
114,83
109,98
99,78
97,115
95,106
102,79
122,90
112,106
84,93
109,86
123,113
94,94
103,102
109,114
86,141
82,109
78,99
105,104
80,119
86,87
114,104
120,73
108,107
86,113
84,102
111,100
112,111
119,76
108,99
86,126
82,129
76,123
102,97
108,119
106,125
84,111
98,101
116,127
95,106
107,152
135,75
105,125
88,104
121,62
147,94
123,106
111,104
84,131
102,95
102,120
60,152
86,137
84,103
102,78
123,100
108,72
117,90
99,108
104,103
101,103
