at20_s5_r,is20_s5_r
41,125
34,133
15,152
12,158
22,148
12,149
6,146
10,131
24,140
12,134
13,149
7,137
27,148
20,133
27,130
33,130
35,148
27,141
35,154
10,146
30,163
5,182
12,169
31,126
33,126
34,140
16,151
17,150
5,143
35,136
26,147
29,137
15,173
19,148
12,138
26,133
27,130
29,137
31,136
28,142
30,139
29,138
18,154
30,139
33,137
31,154
26,148
32,140
45,157
27,166
31,161
28,181
27,178
47,178
35,167
30,158
26,164
24,167
30,155
34,178
6,186
10,154
22,146
31,130
36,151
35,166
22,178
9,172
35,138
37,138
33,133
40,155
21,159
34,141
31,150
23,173
7,174
6,119
36,141
36,171
9,173
28,181
7,200
29,186
28,180
8,173
36,174
30,185
10,190
15,209
24,204
52,179
53,208
12,176
23,136
44,154
21,180
18,187
22,190
40,187
21,216
26,176
29,198
15,194
31,136
44,150
34,146
35,178
35,169
23,144
32,152
8,154
32,148
27,130
13,137
