at20_s26_l,is20_26_l
86,119
78,95
64,84
81,62
56,98
66,91
44,67
56,92
47,78
70,57
53,97
67,99
55,109
56,104
64,101
51,90
78,105
59,109
50,102
51,115
57,96
26,154
51,144
56,126
71,123
53,264
102,123
62,120
68,102
72,121
43,118
52,109
54,118
53,122
46,129
51,158
72,107
56,141
52,119
61,76
55,88
49,115
72,102
50,109
66,105
63,108
68,113
51,123
33,137
62,129
33,123
57,75
68,86
57,91
77,81
57,90
34,88
47,85
51,82
82,100
67,176
26,110
24,104
62,118
77,138
42,119
45,136
48,138
59,132
48,152
80,121
61,112
56,145
23,159
77,134
68,114
70,154
67,127
78,136
94,123
61,137
51,152
57,150
55,154
99,117
70,146
53,158
63,141
93,140
56,157
46,125
58,120
47,116
60,158
66,150
84,128
53,157
40,159
86,158
47,139
78,142
72,112
76,92
71,109
76,94
74,90
75,114
94,119
73,149
80,122
71,129
55,120
72,115
86,108
73,108
84,110
78,125
68,122
66,187
22,198
68,157
44,159
62,100
97,157
72,157
56,152
58,149
47,161
44,136
56,110
