at20_s18_r,is20_s18_r
117,115
79,53
61,114
46,74
70,90
86,84
84,84
85,66
80,100
72,67
92,79
94,55
88,86
74,68
84,95
81,69
82,91
69,94
68,101
74,77
77,105
68,86
73,107
66,83
76,98
70,86
66,104
68,88
71,107
53,96
64,98
74,93
77,88
78,76
79,87
77,112
64,71
73,108
88,67
72,112
69,81
79,89
74,91
75,80
69,96
78,95
53,100
78,94
78,66
90,94
90,84
76,114
66,84
73,116
59,94
62,91
73,99
64,88
84,83
85,92
66,106
64,109
79,81
79,116
76,94
78,96
73,87
76,108
69,99
68,100
66,96
78,82
86,92
91,92
78,90
80,85
88,80
88,91
81,76
92,113
88,64
85,105
82,94
78,109
75,86
78,93
75,96
72,83
89,100
76,95
69,112
67,95
78,101
75,97
75,117
76,95
68,109
67,112
69,115
73,107
69,121
64,104
73,117
79,73
94,107
78,66
93,107
66,81
78,111
90,75
89,112
60,94
86,104
78,104
87,94
69,115
70,93
87,96
76,117
75,103
82,114
70,102
63,106
65,112
76,86
78,100
86,95
63,96
89,79
84,83
89,93
79,74
86,109
79,87
77,89
75,420
