at20_s24_r,is20_s24_r
96,123
78,139
70,131
65,121
76,129
84,120
81,140
68,133
89,125
92,111
94,122
95,122
95,110
103,118
91,133
88,121
93,128
94,120
95,127
94,116
93,115
98,127
98,126
100,124
104,128
94,113
106,105
114,115
102,127
107,129
96,151
107,125
115,135
88,113
113,139
106,128
110,123
110,114
103,131
106,125
105,128
93,137
92,115
115,116
117,97
91,117
125,111
111,110
110,116
112,100
123,106
126,108
123,117
120,120
102,143
99,89
139,119
90,115
132,110
123,107
110,123
111,116
119,105
134,116
101,113
121,108
134,103
126,194
93,88
152,137
482,116
131,127
110,125
92,105
120,120
118,98
144,112
121,102
125,98
138,145
93,102
156,143
135,137
142,141
139,139
160,111
153,109
149,137
117,141
132,118
141,146
139,115
149,137
142,117
154,128
121,125
146,104
150,153
