at20_s7_r,is20_s7_r
16,141
10,139
11,135
9,126
18,118
9,123
8,131
25,110
41,105
49,97
52,121
27,123
24,124
28,129
22,138
22,117
42,142
10,145
23,133
11,153
7,153
6,146
6,141
24,145
13,145
15,154
6,127
27,143
18,147
9,144
8,139
29,137
26,150
10,144
12,152
10,149
12,159
13,153
11,145
11,145
27,137
18,145
15,137
21,147
15,137
19,147
12,151
18,145
9,154
9,152
7,171
13,140
34,142
18,150
6,154
8,147
11,137
10,151
11,176
10,142
22,133
10,154
22,140
28,150
10,173
14,138
31,129
27,146
11,143
38,139
33,136
23,137
25,142
18,134
26,141
6,133
35,140
28,141
27,138
36,139
21,135
27,133
34,126
49,124
37,133
31,133
27,150
7,145
39,159
21,136
43,134
46,121
41,132
26,154
18,150
26,146
23,144
31,140
24,158
26,142
30,134
34,126
26,137
26,134
26,154
6,161
15,158
10,150
22,145
36,144
31,122
37,130
35,145
31,158
10,158
11,161
26,141
19,153
13,156
30,134
33,134
33,136
