at20_s29_r,is20_s29_r
66,135
65,111
65,113
63,113
68,115
77,105
49,108
64,120
74,113
43,110
66,103
57,151
65,117
77,128
70,111
71,100
80,120
81,98
84,110
60,117
67,113
80,111
70,127
57,127
78,103
64,121
59,126
22,137
47,99
114,123
57,119
91,120
72,118
79,125
59,129
72,115
77,115
105,95
74,128
85,111
78,107
48,145
77,120
76,108
106,146
49,126
43,164
85,135
87,108
76,104
86,93
73,130
75,112
72,152
57,134
67,127
49,149
72,120
85,143
69,136
149,297
115,144
73,102
92,181
76,123
76,120
70,127
82,139
91,124
92,109
88,121
88,148
49,124
92,109
90,140
71,120
120,126
89,105
120,124
92,129
101,116
101,165
143,139
61,156
29,12
147,135
82,99
94,90
110,103
114,116
118,90
47,120
88,112
105,110
106,137
72,172
106,129
97,141
96,140
93,122
104,116
150,143
83,111
106,116
91,216
74,98
105,104
126,116
85,131
