at20_s16_r,is20_s16_r
61,86
53,121
31,121
43,105
65,107
50,99
54,86
57,95
60,68
60,99
40,87
48,99
60,60
75,103
41,112
39,111
45,104
60,71
77,120
43,109
55,130
38,124
44,115
54,106
41,107
37,117
39,113
53,96
52,118
45,109
43,113
47,110
50,120
52,115
52,126
55,133
19,129
47,137
36,136
50,130
22,121
39,129
35,112
57,95
49,122
48,105
51,104
59,91
49,103
54,95
56,112
47,123
57,105
59,99
52,108
42,195
77,122
50,93
83,91
61,116
44,123
57,113
59,118
54,124
36,98
49,111
49,98
68,122
52,90
66,120
56,116
66,118
64,111
58,107
52,122
34,102
86,113
55,121
44,107
51,99
57,110
62,98
63,106
90,116
62,105
64,111
62,121
75,115
53,131
53,126
56,102
81,93
79,102
70,103
57,119
57,98
66,94
61,91
69,115
65,142
38,138
18,137
43,119
57,129
52,120
55,129
52,123
40,118
71,128
68,115
43,126
77,136
52,157
50,137
41,126
46,111
70,79
77,132
52,120
47,109
51,114
50,115
88,132
30,133
47,112
64,112
60,113
55,134
46,104
60,111
69,115
53,125
43,111
69,121
51,118
58,86
