at20_s19_r,is20_s19_r
58,184
62,136
36,132
31,141
48,155
50,153
48,132
52,99
44,130
48,139
44,159
37,136
32,130
34,140
44,154
34,158
19,144
36,140
34,149
34,145
49,147
28,128
55,130
50,140
37,146
40,151
39,151
50,133
50,147
34,146
59,134
47,141
60,128
56,127
49,129
67,127
57,125
52,125
55,123
32,127
46,140
48,140
44,131
50,135
41,141
51,115
57,133
44,124
63,135
50,150
67,120
56,126
50,123
53,143
42,145
32,153
38,145
48,143
54,164
65,153
44,152
44,139
54,148
72,132
28,185
53,120
60,143
46,139
46,146
89,91
62,131
49,156
61,129
49,134
55,157
49,145
32,151
49,148
57,134
43,151
53,143
66,135
49,152
54,161
59,131
45,157
44,172
49,145
44,168
51,150
49,144
60,169
44,165
40,176
57,165
57,158
59,158
42,189
20,164
57,157
60,140
57,156
59,148
47,156
53,157
52,132
56,119
69,141
76,152
65,141
69,119
52,142
67,170
59,133
64,148
69,131
53,140
69,141
85,129
68,135
57,129
56,161
60,194
35,178
52,181
80,107
53,185
