at20_s20_r,is20_s20_r
60,131
37,126
29,131
47,134
45,125
64,119
60,112
77,126
40,313
73,116
73,111
69,118
54,148
43,134
56,129
39,137
61,118
58,128
51,133
36,128
56,126
54,124
43,117
63,127
33,146
51,133
51,121
53,146
45,127
73,127
58,135
55,160
51,148
44,132
49,135
37,140
41,136
52,136
60,149
55,120
58,124
55,118
66,321
54,139
39,123
58,117
79,127
62,123
73,109
71,116
73,115
65,102
86,111
82,124
73,132
65,114
82,112
85,106
90,164
73,116
73,110
98,99
102,90
109,106
80,121
84,132
64,121
80,137
86,99
100,116
101,91
94,133
88,117
84,144
73,124
85,116
84,125
76,110
95,119
98,108
98,105
90,105
97,103
105,104
96,142
35,147
76,131
94,109
94,106
95,106
102,129
72,120
97,111
102,113
92,114
100,117
91,160
49,139
96,104
115,104
105,107
98,106
107,110
95,127
86,114
103,110
93,123
100,104
113,117
98,120
87,102
104,111
90,108
95,114
82,115
101,108
94,71
134,143
