at20_s26_r,is20_s26_r
32,212
18,140
19,131
37,131
21,131
36,148
12,119
25,49
51,110
31,128
48,112
52,135
25,124
28,114
57,56
166,116
19,139
38,128
47,133
35,115
55,111
52,103
51,121
51,132
45,120
39,119
45,137
28,147
36,134
34,136
65,112
51,117
50,144
30,135
36,140
20,149
31,121
48,124
45,122
28,129
34,130
35,122
27,141
52,122
43,124
32,106
66,92
96,95
48,118
32,120
38,129
47,125
36,101
29,127
16,116
48,108
40,125
46,113
64,145
19,173
23,127
53,129
23,153
35,116
48,126
38,143
29,118
50,129
26,145
32,103
49,113
49,107
53,115
50,125
31,141
18,106
52,92
45,114
49,115
37,103
34,107
47,108
39,113
43,108
44,112
39,115
49,110
52,119
30,132
36,117
55,117
43,125
41,113
61,114
34,122
45,112
48,118
52,139
19,137
30,113
35,120
48,131
37,132
33,112
51,124
27,115
53,114
58,122
50,98
66,113
47,104
59,96
64,98
62,115
61,104
57,121
58,117
34,119
58,119
49,125
56,123
47,99
62,106
52,116
49,111
57,113
43,112
43,117
43,108
48,119
41,122
45,99
68,90
63,102
54,114
49,127
45,103
49,129
39,113
30,119
45,114
50,116
