at20_s21_r,is20_s21_r
34,145
50,96
74,104
47,103
61,112
85,113
51,126
58,113
43,106
70,120
47,113
55,117
47,127
49,129
23,131
45,116
56,120
48,94
62,108
68,104
48,121
50,116
64,111
66,112
59,125
36,136
68,107
69,120
28,134
66,112
58,126
42,118
69,129
51,98
90,121
58,124
70,136
56,99
69,108
65,106
76,100
56,117
56,124
56,99
94,138
42,194
11,149
113,137
22,109
93,119
69,129
58,115
95,111
74,94
82,133
59,115
86,158
22,119
92,125
79,121
79,111
77,119
73,125
88,126
77,110
89,120
77,106
98,121
72,107
98,118
66,141
43,116
97,123
98,229
120,122
78,136
52,132
78,128
105,129
55,11
100,142
83,110
91,127
77,145
72,111
95,127
89,132
50,144
88,94
121,117
78,120
89,143
78,128
72,120
79,123
84,106
74,140
73,118
87,154
55,159
29,117
96,125
84,123
98,146
46,177
57,109
79,157
87,162
61,127
95,139
24,111
103,116
97,120
84,145
97,128
73,161
72,133
68,151
66,166
44,132
108,129
