at20_s30_r,is20_s30_r
95,117
84,123
94,116
88,122
75,105
92,109
108,113
108,108
93,114
111,125
109,116
80,93
108,98
115,109
120,95
77,102
82,129
74,132
87,121
84,110
94,104
81,104
88,128
79,133
74,109
77,117
53,121
65,109
66,114
71,124
72,112
64,123
86,91
93,94
92,122
69,115
81,103
86,110
83,119
65,109
83,122
59,104
80,117
68,112
92,131
74,114
82,107
86,104
88,119
82,99
97,112
69,129
81,122
94,130
68,110
83,113
74,129
79,115
73,111
86,120
81,123
110,115
82,104
97,104
80,102
95,108
88,133
84,109
96,108
97,117
79,129
105,124
142,110
83,127
94,120
95,128
79,119
87,115
100,116
126,128
106,119
108,127
67,132
77,170
118,120
104,117
88,124
77,141
64,131
61,126
62,153
60,133
76,165
61,150
75,137
76,151
79,159
90,139
90,145
64,148
78,148
48,133
60,114
90,130
92,122
120,132
