at20_s23_r,is20_s23_r
83,104
23,110
45,112
35,115
33,121
35,118
38,118
41,120
36,124
39,117
35,123
37,112
50,114
39,123
37,124
43,117
39,120
40,119
37,132
23,138
36,121
37,123
49,123
37,123
36,128
28,128
36,124
36,123
36,126
26,129
43,124
35,134
30,137
20,127
36,133
35,115
41,121
46,115
50,121
47,114
54,115
34,133
34,121
38,123
20,123
28,119
45,125
35,120
40,116
40,124
35,117
52,118
53,102
60,121
30,135
31,118
54,117
48,119
48,122
38,133
35,110
58,108
54,122
51,108
53,112
47,131
37,127
45,117
57,114
64,112
48,123
38,122
51,110
51,115
54,115
54,112
54,112
56,117
59,108
56,104
64,95
65,109
50,117
53,121
37,122
55,119
64,95
65,89
55,113
50,108
65,107
48,112
60,101
55,122
34,124
51,128
47,105
64,103
53,133
31,121
60,115
52,127
33,119
45,124
49,107
55,121
40,127
52,128
45,125
50,118
50,125
31,127
33,112
53,118
37,128
35,127
50,124
52,116
55,108
65,125
44,118
36,128
31,116
55,122
31,123
53,116
38,121
41,124
60,117
47,121
47,119
53,119
49,110
54,107
48,96
70,106
46,114
47,236
67,117
35,113
