at20_s23_l,is20_23_l
106,92
105,86
78,96
72,104
68,86
78,92
72,103
81,94
79,82
81,100
94,89
24,109
50,124
67,98
72,105
68,103
80,100
81,94
102,97
90,92
69,96
77,97
86,89
84,89
103,87
81,96
84,97
96,84
88,90
86,88
86,89
95,101
89,101
92,93
95,88
85,91
85,95
81,81
69,86
79,93
85,81
86,98
86,96
84,78
94,100
84,94
88,89
86,90
82,96
84,88
75,91
90,101
79,90
98,87
94,93
99,89
96,216
123,113
92,80
100,84
76,98
84,85
89,83
101,93
93,91
90,92
71,98
102,91
76,95
98,88
96,81
100,80
96,84
119,96
98,76
60,286
127,81
99,105
100,81
99,70
115,89
58,182
97,119
107,86
97,100
125,173
110,119
106,126
72,132
68,116
96,105
96,100
89,120
80,126
79,117
100,101
96,108
68,121
96,121
84,105
109,91
98,119
67,113
80,136
93,105
79,101
104,110
66,164
107,117
96,92
108,101
84,84
157,112
118,106
115,86
82,307
160,173
118,157
78,107
90,107
5,211
113,102
