at20_s27_r,is20_s27_r
93,89
86,108
65,95
77,94
54,109
21,118
21,119
69,105
47,93
58,91
57,101
59,104
47,104
60,101
59,114
58,94
58,81
79,100
51,103
53,132
39,105
63,96
56,109
71,125
63,137
69,149
63,131
66,90
86,82
78,86
77,96
73,88
59,103
65,92
80,96
56,96
84,90
53,133
45,141
67,103
72,100
51,92
64,107
51,123
35,133
47,110
62,111
56,91
62,104
59,100
105,98
76,88
70,92
73,99
78,72
100,58
75,94
64,105
79,74
101,89
53,115
66,117
62,97
39,108
64,86
59,109
65,90
70,99
52,117
35,115
41,122
50,123
57,76
84,95
61,104
35,113
52,105
62,95
88,80
78,91
67,98
70,95
65,108
55,105
54,116
49,110
58,125
39,104
60,117
76,102
53,92
69,91
67,102
66,97
63,91
69,78
57,104
51,99
41,112
76,78
86,82
84,88
66,93
70,88
68,95
76,89
76,101
56,128
59,110
62,120
60,94
93,82
55,105
55,104
63,95
65,94
70,124
49,104
62,86
71,112
31,96
76,258
127,100
49,111
60,106
66,104
67,120
56,99
78,98
59,106
77,96
63,112
68,105
48,125
46,119
61,103
65,99
77,109
63,86
78,98
54,106
78,89
75,95
77,94
65,111
17,66
