at20_s15_l,is20_15_l
78,111
55,90
54,102
24,99
29,196
57,101
76,75
89,95
85,86
70,100
63,96
55,106
71,85
70,100
70,91
80,87
68,85
83,87
72,96
72,96
72,87
90,85
72,92
82,85
75,87
68,96
82,77
76,98
63,97
83,90
70,108
60,95
63,102
51,112
55,92
70,66
72,98
72,107
67,99
76,97
72,90
87,91
72,102
70,99
69,109
59,96
78,102
68,119
58,122
57,117
60,112
51,121
60,124
60,101
64,121
58,116
68,114
44,109
65,113
67,241
50,108
69,112
71,92
81,100
84,106
54,110
66,106
78,109
76,97
87,100
96,73
85,94
55,97
63,89
82,99
71,93
99,101
58,126
63,117
59,115
70,114
70,107
81,100
80,107
61,123
70,112
68,104
83,109
68,117
68,135
53,116
64,116
81,106
70,117
51,138
72,136
68,133
42,148
49,141
56,127
65,112
81,110
74,127
82,174
80,111
86,110
62,236
46,109
27,84
47,122
78,91
77,113
59,100
85,100
88,139
115,115
86,104
55,134
67,128
85,127
57,112
