at20_s16_l,is20_16_l
43,112
77,58
80,76
55,83
79,77
65,75
85,99
64,112
60,94
66,111
40,109
76,99
77,105
54,110
56,102
76,68
84,83
69,103
56,108
32,123
48,118
55,114
62,129
39,121
38,124
77,61
34,78
92,65
68,99
69,118
47,111
47,108
52,108
55,121
60,121
63,111
69,111
94,116
76,108
65,108
60,120
31,207
80,85
67,80
79,80
80,92
75,118
55,116
68,110
71,93
66,99
69,96
67,99
61,119
63,111
56,100
51,113
63,109
67,124
57,120
66,117
49,130
54,111
63,106
64,95
69,115
57,101
71,130
62,132
65,76
80,99
64,116
73,117
63,116
70,127
56,117
55,102
49,125
39,122
83,125
68,105
79,129
55,129
43,121
51,100
85,105
75,129
69,131
60,153
64,137
76,145
55,158
47,150
68,126
71,138
53,122
59,132
48,124
77,127
57,133
55,101
84,88
79,88
64,100
76,104
82,266
44,125
55,95
36,100
80,123
54,134
50,116
64,110
54,114
53,109
52,113
75,117
53,117
82,80
104,99
68,106
85,77
89,96
73,115
81,99
50,91
79,58
69,73
96,53
60,101
59,80
