at20_s9_r,is20_s9_r
44,142
28,111
23,122
26,104
36,200
15,103
12,133
27,137
31,111
36,116
27,116
32,114
39,114
36,120
11,105
18,129
10,125
35,104
50,118
11,133
43,126
40,111
46,98
58,101
18,291
53,124
48,91
52,120
27,123
25,123
20,129
35,94
54,95
68,97
51,86
49,109
38,88
47,96
36,131
41,97
146,134
57,128
28,129
30,126
22,129
30,131
13,140
26,127
35,129
37,122
31,117
43,117
55,84
47,109
5,103
168,64
45,307
55,133
41,123
39,137
39,142
55,111
56,121
47,116
50,128
42,129
43,115
53,109
55,113
35,120
38,116
55,112
50,112
60,121
55,129
43,120
46,111
55,112
54,110
39,116
56,97
180,123
42,130
34,136
44,116
44,121
43,116
56,117
51,105
59,121
38,132
41,129
47,120
60,105
63,108
43,129
27,132
51,114
59,109
68,108
60,126
37,136
44,105
59,126
27,118
65,105
59,113
51,121
43,111
65,104
6,220
18,129
33,101
53,116
39,129
45,95
55,277
67,141
55,117
59,122
