at20_s3_r,is20_s3_r
7,138
13,119
8,138
6,132
11,142
5,151
6,137
5,126
10,128
15,115
11,121
11,132
11,129
7,119
11,121
15,149
6,129
19,140
7,125
31,124
11,131
11,134
9,130
11,129
10,135
13,126
9,129
14,128
28,125
6,132
12,124
10,130
14,130
9,123
8,128
32,118
13,143
12,130
10,127
10,130
32,122
37,95
16,122
9,122
17,143
13,117
10,161
7,137
14,136
12,141
7,125
18,127
14,129
29,117
26,118
29,140
16,145
11,134
13,132
14,131
26,109
10,120
36,116
15,126
19,134
14,119
34,102
10,122
12,121
10,120
40,113
10,137
14,130
6,145
10,110
17,132
11,121
27,118
17,133
10,133
7,123
12,147
13,135
30,124
5,130
6,133
10,113
47,108
15,129
6,124
7,128
15,124
11,125
39,117
10,150
34,126
32,242
43,127
28,112
18,120
12,125
6,122
34,222
65,129
39,121
38,122
6,119
16,122
36,102
29,127
10,120
15,124
31,117
9,120
33,121
6,121
27,107
9,119
10,149
9,139
13,138
33,148
43,129
39,129
8,139
7,108
25,116
39,139
11,145
27,150
9,129
31,134
6,132
31,126
9,142
22,134
10,118
13,165
13,154
37,141
47,153
7,145
16,156
27,132
11,134
9,134
30,129
13,127
9,122
34,139
12,147
12,135
10,153
7,133
10,121
28,123
27,128
9,143
8,139
11,133
11,95
