at20_s29_l,is20_29_l
59,112
76,102
70,98
69,95
74,103
81,88
75,93
76,98
69,113
65,98
81,97
68,109
65,110
71,96
68,112
68,101
81,97
65,96
84,86
74,103
77,94
79,95
76,108
60,105
69,92
58,112
40,111
32,100
80,111
49,110
70,99
68,95
61,115
53,105
67,99
63,110
68,114
66,109
63,91
77,105
68,110
66,107
65,120
60,112
64,112
60,112
48,111
73,89
63,122
62,112
60,111
77,117
63,130
67,124
72,103
82,113
80,124
64,137
60,157
56,143
58,122
74,94
82,124
56,125
68,121
59,122
64,133
58,137
47,124
60,129
70,107
75,115
78,107
81,114
66,121
59,102
66,117
60,98
66,106
70,104
51,124
69,96
82,114
86,107
81,106
82,97
78,113
76,100
76,105
89,111
76,108
68,116
64,121
67,106
80,108
63,111
94,100
88,100
84,117
51,123
78,119
63,114
64,125
67,116
69,121
64,127
69,136
73,117
79,122
79,129
56,124
56,124
72,122
67,135
73,121
62,93
81,136
44,84
47,76
