at20_s11_l,is20_11_l
57,118
61,106
58,113
51,116
48,105
59,112
48,104
55,111
49,103
53,108
58,106
48,104
76,106
62,107
52,111
49,112
52,104
52,104
51,90
62,98
57,120
48,106
62,108
64,103
65,99
65,114
58,106
74,112
48,109
50,116
57,113
67,111
61,118
58,129
43,132
52,103
74,104
68,124
55,104
77,115
73,121
59,121
59,116
54,116
48,131
39,117
50,116
41,208
50,104
19,127
28,133
40,123
52,105
51,92
59,105
51,104
68,113
59,100
76,113
55,116
52,111
70,198
64,123
53,121
59,117
47,119
54,116
55,96
60,107
56,102
64,137
117,111
56,123
44,102
58,110
50,111
56,121
56,123
57,132
48,127
46,137
10,157
26,240
68,129
32,174
111,127
80,90
75,103
66,137
27,110
74,152
78,137
39,114
62,125
51,136
49,110
58,181
92,136
50,139
52,122
39,118
49,133
51,140
55,123
53,117
65,127
38,141
47,121
63,137
35,135
42,141
71,116
71,128
33,164
82,127
61,135
62,147
49,133
64,133
64,133
38,128
54,120
39,137
60,161
80,111
82,108
79,123
37,328
63,136
45,129
25,110
39,149
48,161
66,123
45,79
80,123
70,115
49,127
114,101
