at20_s2_r,is20_s2_r
12,142
13,138
10,125
35,116
23,121
11,129
29,127
13,131
12,134
42,98
37,124
11,138
30,109
35,111
36,103
37,117
26,100
43,96
56,80
47,121
26,128
10,134
35,105
33,112
42,104
12,122
27,123
33,106
37,94
42,107
32,115
44,84
97,56
95,109
31,150
11,142
24,120
20,137
14,137
7,136
7,141
6,132
11,143
10,138
8,141
15,130
30,129
11,144
7,146
9,136
16,145
7,129
26,138
9,128
41,116
20,146
10,137
33,128
28,116
35,104
48,113
43,115
32,129
37,106
31,117
39,121
35,110
41,122
38,108
46,110
39,110
53,117
39,117
31,119
36,120
36,121
43,115
53,107
44,126
30,103
53,110
45,100
39,114
42,101
51,113
18,133
43,107
44,102
50,113
55,108
39,122
42,107
53,114
46,129
33,115
38,118
30,116
43,109
63,109
43,106
58,115
57,95
62,103
59,84
60,98
57,97
55,110
58,103
60,122
58,97
55,113
71,105
59,113
63,103
53,137
57,82
67,107
62,87
56,104
40,101
57,104
49,101
50,110
9,109
39,110
53,109
55,105
47,103
32,105
42,118
38,113
43,106
46,114
37,111
