at20_s19_l,is20_19_l
47,117
39,115
53,111
65,101
53,98
52,103
56,103
57,104
52,106
49,112
47,109
39,107
61,95
52,112
56,113
59,101
71,104
60,100
56,99
44,104
52,84
53,98
68,118
82,127
66,131
65,117
60,131
53,136
65,141
55,129
65,124
64,119
52,141
47,137
52,127
62,128
56,135
62,152
40,131
49,141
39,144
65,141
39,143
50,145
55,154
35,131
64,129
57,138
50,138
67,180
38,129
34,211
39,104
61,122
57,178
60,115
65,144
85,136
50,131
52,135
74,120
51,121
55,142
88,122
62,121
51,136
53,131
65,135
53,116
65,148
53,128
39,128
68,115
56,132
50,141
41,140
59,171
75,132
56,142
61,133
66,154
59,142
53,117
61,126
50,128
64,129
68,117
55,116
56,117
63,117
40,119
62,131
59,144
53,119
53,146
63,120
60,138
79,138
63,122
68,125
72,121
57,141
64,153
64,129
55,131
68,147
64,145
55,140
55,133
57,132
53,140
24,151
49,153
85,142
55,124
47,150
92,34
