at20_s14_l,is20_14_l
94,91
94,104
67,87
68,109
63,96
85,75
101,107
98,69
107,81
91,100
84,103
73,103
77,95
82,75
105,95
94,74
97,78
92,81
106,81
99,110
94,99
70,120
92,113
96,92
97,96
93,107
106,109
54,125
55,121
84,116
72,117
85,116
69,122
52,153
70,126
81,125
68,110
99,97
83,92
96,95
85,101
96,92
84,111
69,132
83,108
90,102
80,120
97,112
72,106
119,96
88,112
77,110
98,110
87,98
115,96
97,112
76,109
104,113
97,113
58,145
80,123
86,100
109,96
96,96
125,77
120,101
96,105
100,107
110,105
100,103
106,104
131,84
131,112
103,107
124,87
98,119
114,60
131,129
102,125
88,86
131,90
132,83
100,105
108,86
99,90
123,74
118,91
130,92
130,106
121,98
100,122
108,120
101,156
65,105
129,84
112,101
96,120
128,280
99,94
131,79
118,92
121,63
142,77
147,79
110,99
130,53
119,110
99,92
88,121
88,79
