at20_s24_l,is20_24_l
75,120
34,132
63,104
60,106
69,101
76,99
81,96
82,99
83,101
68,95
85,96
92,100
80,101
83,98
87,115
77,105
84,89
86,129
68,125
68,100
84,107
86,116
76,110
83,98
92,109
90,120
81,118
78,103
86,115
93,110
91,92
88,101
88,120
89,112
84,104
85,115
98,111
85,103
102,113
96,112
101,125
92,97
100,119
98,124
89,116
103,107
116,117
121,110
99,127
94,104
100,115
109,104
114,101
113,96
108,96
107,109
110,113
104,111
114,103
119,101
104,112
106,118
110,111
98,110
108,102
119,94
111,105
119,98
127,103
123,92
121,108
125,113
115,116
115,98
135,109
121,107
119,97
131,101
116,92
146,100
128,123
112,106
127,96
130,94
135,86
131,117
125,111
130,120
98,97
107,108
134,104
96,116
114,122
103,130
128,141
93,99
85,110
144,484
216,168
46,102
168,89
144,93
152,141
144,140
161,87
184,68
