at20_s28_r,is20_s28_r
84,95
70,96
63,101
63,82
78,92
80,69
74,82
78,100
52,100
67,104
58,80
82,92
71,95
67,99
64,102
81,111
45,116
57,116
64,84
67,98
62,105
64,117
50,108
64,83
80,88
72,84
80,98
74,102
58,103
89,72
88,66
107,109
39,105
78,79
76,103
61,116
42,127
55,125
39,117
63,115
53,118
38,108
64,104
68,92
63,103
70,102
82,98
70,107
81,109
75,95
77,109
67,107
49,105
76,112
63,104
73,104
68,102
69,88
89,113
67,109
68,112
63,101
67,87
96,67
94,84
80,106
58,105
71,108
77,98
69,117
63,120
65,101
67,112
60,118
52,106
63,113
51,111
69,114
65,123
55,116
81,115
48,89
87,105
63,105
67,85
75,105
68,95
85,83
60,112
72,93
75,92
94,102
48,111
73,93
82,100
65,92
77,98
75,99
79,116
62,111
60,128
64,121
64,96
77,107
76,104
76,99
89,78
98,91
77,95
81,84
76,99
74,95
86,72
70,107
77,92
80,87
89,101
76,102
80,96
65,96
77,92
83,96
85,82
77,107
78,100
84,101
76,85
83,89
86,107
82,118
66,113
63,92
