at20_s8_r,is20_s8_r
52,119
62,114
62,118
46,129
34,127
40,112
56,112
49,107
55,121
53,106
48,92
69,108
52,115
53,96
60,107
65,110
45,107
53,106
66,106
54,106
53,123
54,106
53,99
53,102
53,111
47,120
34,114
62,116
60,102
67,110
53,106
62,103
52,115
63,105
62,102
53,106
54,115
53,106
62,106
76,108
54,122
33,131
29,123
59,109
65,115
53,115
65,109
51,117
62,119
52,136
29,120
43,123
35,121
51,109
50,117
51,130
42,130
43,126
41,120
21,148
43,121
46,126
51,139
37,140
44,134
53,133
45,126
50,137
49,123
51,142
35,128
44,121
63,143
46,135
36,130
34,130
43,141
51,133
38,122
43,129
43,117
66,122
51,101
55,134
69,118
43,129
37,115
61,115
67,109
53,113
31,135
51,129
48,122
53,142
36,127
68,106
62,117
49,121
53,106
60,100
61,125
62,125
61,134
51,129
59,133
59,117
62,135
47,117
