at20_s22_r,is20_s22_r
64,86
70,100
57,88
74,72
74,69
68,80
61,71
64,98
48,109
63,92
68,96
59,83
73,84
72,95
60,96
60,92
72,93
75,73
78,82
82,75
84,62
82,74
65,96
72,97
63,82
82,79
89,94
78,78
69,92
76,83
85,76
68,95
64,100
72,82
65,77
75,84
64,98
62,90
65,84
76,84
88,90
69,97
55,88
59,96
56,92
68,84
61,91
51,96
67,79
69,89
71,83
77,83
76,84
60,84
63,83
60,108
56,109
51,89
62,103
40,106
52,94
81,100
59,101
67,116
52,104
72,114
54,120
60,87
77,82
73,97
76,95
81,115
65,88
76,98
79,99
63,107
78,108
69,108
60,103
64,96
85,88
79,84
76,88
80,79
81,86
90,73
99,81
77,81
80,78
96,78
88,92
80,97
63,100
59,92
77,115
77,92
92,96
80,104
81,99
77,103
81,100
72,98
74,92
81,62
95,78
84,77
79,106
82,87
77,88
72,98
69,96
64,90
87,91
96,99
82,112
72,95
77,124
60,104
77,100
76,115
53,110
78,117
67,133
51,126
71,124
73,103
65,67
80,105
67,117
47,108
56,112
64,71
76,97
79,82
86,68
81,91
76,107
81,117
72,95
57,77
94,102
79,105
67,106
70,128
52,102
66,88
88,113
64,90
