at20_s20_l,is20_20_l
7,142
54,128
36,114
70,113
63,129
47,112
70,111
68,103
78,125
58,129
52,140
41,135
69,125
67,127
70,135
61,121
67,124
70,127
81,144
58,127
77,123
71,135
67,142
60,131
81,138
79,116
93,142
61,147
93,141
47,146
64,120
80,148
55,129
75,160
76,124
93,123
90,102
90,142
80,146
79,118
82,125
82,146
69,126
87,117
84,116
93,125
108,165
81,119
78,152
69,128
105,161
81,86
112,129
87,90
100,128
87,117
104,81
112,150
71,91
117,104
102,100
100,125
80,110
91,137
63,139
99,169
74,141
95,144
81,124
106,115
106,157
97,110
111,124
97,116
85,139
94,177
98,120
109,125
76,129
84,161
87,145
123,161
99,137
111,106
103,156
77,149
81,180
69,139
111,129
97,110
105,140
54,126
116,151
33,152
81,146
88,141
77,148
76,173
73,129
92,130
110,110
106,106
102,123
106,119
86,157
81,132
109,131
86,97
88,136
