at20_s17_l,is20_17_l
96,128
56,109
68,119
67,109
56,112
60,121
50,106
59,106
66,116
57,111
64,115
63,113
70,132
48,129
52,118
70,108
80,96
84,99
86,118
63,119
60,120
69,124
70,140
67,115
87,113
82,113
76,112
80,134
87,128
85,132
69,124
85,111
81,111
86,123
82,129
82,118
97,129
84,122
86,130
84,132
83,123
84,124
76,117
110,98
97,131
82,115
69,113
71,125
68,110
87,113
88,140
69,140
56,124
64,127
68,133
57,150
47,136
53,144
56,135
70,127
69,126
67,145
69,148
85,139
70,145
79,129
69,127
68,112
85,131
86,141
84,153
77,121
108,117
104,129
95,118
113,138
100,148
89,154
74,134
99,146
106,135
107,146
140,358
113,169
57,127
77,123
98,139
78,133
81,139
77,140
74,152
101,156
70,152
98,162
88,145
80,128
97,133
92,159
112,131
102,165
101,138
88,143
94,133
93,127
85,129
93,126
91,152
97,146
71,174
68,132
73,121
100,132
81,145
72,144
94,114
98,134
