at20_s11_r,is20_s11_r
62,121
47,109
47,94
61,86
58,93
62,99
58,95
39,94
60,93
60,95
56,95
57,96
51,103
49,91
60,99
49,98
59,99
55,100
48,98
58,102
49,92
62,98
55,86
66,102
61,99
45,104
49,111
51,112
48,98
66,102
45,105
47,113
43,108
53,111
40,107
51,99
57,110
49,105
53,105
57,113
43,113
51,112
44,102
56,97
51,105
51,98
58,109
50,104
56,105
57,88
59,99
56,112
43,110
41,107
57,108
48,106
58,103
54,94
61,107
47,111
49,117
41,107
47,100
51,100
51,107
49,104
58,105
40,101
67,94
58,86
63,98
56,107
47,100
57,116
32,118
46,109
54,107
49,103
57,117
47,112
41,121
37,123
37,112
45,94
72,105
47,104
47,115
49,91
69,94
57,103
49,119
40,132
32,109
55,120
40,102
58,98
63,90
48,125
31,178
104,99
67,92
72,110
47,96
68,103
61,113
43,118
45,111
74,112
60,151
70,115
65,106
46,121
51,102
62,100
55,95
65,101
72,97
55,94
73,100
60,114
57,111
88,100
82,89
83,98
74,106
66,106
50,113
51,152
81,116
