at20_s30_l,is20_30_l
112,140
110,118
99,82
98,115
70,128
81,124
64,119
82,118
70,114
95,106
102,99
78,127
86,125
75,133
83,116
94,124
97,112
76,138
80,122
83,140
85,127
81,122
92,129
92,130
91,133
80,141
80,124
79,131
87,121
73,138
95,145
84,158
81,132
84,132
77,148
89,144
86,132
105,154
80,129
70,138
85,132
93,121
96,121
88,135
65,140
74,120
105,140
79,131
104,131
82,142
88,153
60,152
73,140
110,124
101,123
78,161
89,146
75,141
76,142
91,151
83,141
88,139
90,149
83,164
71,150
96,153
72,137
88,151
72,136
96,146
63,154
84,151
95,141
80,157
81,174
79,144
118,154
84,144
86,137
116,127
90,137
92,126
84,143
96,145
94,154
96,146
100,141
105,140
73,154
109,116
76,155
70,180
108,176
54,200
97,129
113,148
100,120
160,108
117,121
64,135
