at20_s6_r,is20_s6_r
32,136
12,140
20,119
32,121
22,113
46,122
22,104
36,128
23,128
11,132
16,146
9,138
34,110
46,100
39,121
27,101
38,121
27,109
30,115
12,130
17,145
7,75
117,121
35,127
33,120
35,124
28,111
24,77
13,100
31,125
8,121
29,118
41,115
17,139
28,113
45,121
33,112
43,117
27,129
6,142
26,128
39,122
28,121
37,111
28,109
28,119
23,116
23,92
14,125
43,121
10,130
30,108
31,105
22,133
39,130
36,115
43,121
35,108
55,110
45,110
43,116
35,134
9,142
31,120
41,115
30,122
43,125
34,129
35,122
23,128
34,137
36,123
42,118
52,121
31,129
55,91
167,84
31,100
35,125
39,100
43,121
31,133
35,123
36,137
42,127
42,116
49,124
35,111
53,107
45,118
53,127
48,110
55,118
46,127
41,127
53,121
35,141
30,139
38,133
23,126
42,129
24,121
39,134
42,148
39,137
59,108
55,118
55,108
47,117
47,118
34,140
36,118
50,117
47,129
53,128
50,126
63,112
64,116
52,129
51,108
51,77
47,110
53,109
