at20_s12_r,is20_s12_r
39,119
61,113
42,123
41,129
39,121
43,125
32,129
38,125
38,129
40,137
33,134
35,114
51,119
44,128
36,124
46,126
40,122
47,118
44,125
48,119
38,125
45,121
47,128
40,128
48,136
28,140
37,123
44,124
58,123
39,133
35,122
50,127
49,112
64,121
47,293
47,128
40,123
49,125
52,128
55,118
71,134
34,141
59,137
36,127
32,129
55,133
32,120
56,119
36,127
53,129
44,123
40,117
64,101
67,111
53,120
51,125
45,130
57,127
41,113
63,123
49,120
52,136
48,121
51,120
61,125
55,141
51,121
51,137
40,145
38,126
50,138
36,136
26,153
40,136
50,124
34,135
41,127
57,137
44,152
24,317
31,133
51,123
58,129
46,128
53,127
61,120
52,107
72,108
61,130
54,137
40,137
51,116
60,129
47,128
48,123
49,124
48,120
61,103
73,122
56,125
70,125
63,112
64,124
48,121
55,138
42,156
37,157
39,142
51,140
32,137
60,121
54,116
70,134
37,127
62,136
39,130
47,128
48,132
52,112
52,124
48,128
