at20_s28_l,is20_28_l
92,82
69,100
64,94
69,91
69,100
105,77
91,91
77,83
81,58
126,30
106,75
80,84
76,82
90,88
88,82
103,73
94,78
100,72
113,70
83,90
98,85
96,99
69,97
87,88
100,84
97,96
94,94
100,93
97,93
103,104
89,95
105,97
83,102
86,125
47,158
55,106
61,119
71,117
69,119
68,111
68,104
71,116
83,119
77,96
97,84
113,83
102,88
103,99
94,111
94,86
114,96
109,93
99,85
112,76
112,80
121,74
114,92
137,70
96,103
112,79
102,82
100,78
116,68
117,98
100,131
84,126
82,110
84,113
108,104
109,99
106,101
112,81
107,88
97,90
90,94
94,100
88,95
98,92
109,95
95,109
86,113
96,118
74,95
102,103
95,94
108,83
102,110
87,100
90,92
99,108
113,88
109,86
114,101
100,101
104,84
113,123
84,118
80,128
64,117
101,89
120,120
111,112
99,178
104,104
57,128
67,103
99,108
84,118
111,90
107,109
112,172
103,79
68,143
