at20_s13_r,is20_s13_r
62,119
24,142
38,140
51,155
35,137
52,123
49,129
39,135
49,134
38,135
49,125
39,115
58,111
48,115
65,103
61,137
39,132
61,110
58,103
64,111
37,144
49,145
69,128
51,293
63,125
47,111
70,126
74,117
72,98
90,123
70,122
74,123
37,135
74,135
59,107
84,111
69,120
89,127
65,128
81,137
64,102
107,88
88,137
78,118
82,105
92,105
82,145
47,92
113,80
92,86
95,118
82,123
102,111
104,94
84,104
89,82
114,104
74,120
102,86
92,104
113,100
93,100
104,105
67,111
82,120
78,127
88,105
83,115
74,78
95,112
71,100
81,106
94,121
80,103
102,108
78,117
94,112
113,99
70,110
115,92
100,86
78,141
56,131
98,90
94,97
112,111
61,153
69,149
96,85
89,119
84,124
72,115
98,107
86,105
80,134
70,106
82,127
52,104
84,106
80,113
67,92
77,69
94,85
46,88
101,92
84,62
89,100
97,111
40,99
98,147
37,92
101,71
109,116
69,111
110,132
89,104
121,92
93,95
102,112
59,152
24,138
