at20_s4_r,is20_s4_r
38,163
9,144
24,149
10,164
8,159
5,161
11,163
9,137
31,156
12,155
13,161
23,150
14,162
25,139
35,146
9,166
39,154
14,157
32,144
23,137
31,149
11,156
41,150
26,144
32,170
6,160
32,162
19,148
24,157
27,154
10,157
35,161
11,174
43,165
28,160
29,144
23,145
34,139
30,150
23,174
30,154
23,170
5,165
36,151
32,134
44,133
47,125
51,146
32,155
31,146
28,146
29,170
6,156
32,162
23,158
30,174
6,174
21,144
38,142
42,138
38,171
14,153
43,146
43,149
49,148
26,146
31,149
25,158
40,175
30,154
26,154
35,141
20,169
34,124
51,143
32,156
9,157
37,141
55,163
26,166
22,154
38,146
31,160
40,163
38,171
38,161
44,123
42,145
34,153
27,174
22,146
43,158
26,169
28,152
37,137
37,150
40,161
19,162
43,138
26,162
35,145
30,179
35,162
34,170
6,187
18,186
35,158
21,155
29,160
51,166
34,129
37,168
27,178
30,154
39,130
42,187
