at20_s17_r,is20_s17_r
84,115
66,123
53,123
44,127
47,144
39,134
46,129
39,131
41,123
43,117
57,129
43,137
46,130
47,127
58,131
37,151
37,148
35,137
57,137
35,136
46,133
41,128
46,146
37,141
47,141
56,131
45,124
48,129
47,136
49,130
62,115
49,120
52,117
52,114
61,114
54,114
54,110
57,114
54,120
40,125
43,127
45,127
45,125
47,115
53,122
46,137
35,117
51,123
41,108
51,107
45,115
57,117
51,117
51,122
42,127
37,119
65,118
62,136
49,116
54,121
55,128
38,120
47,115
42,122
55,131
35,123
61,129
56,108
63,128
48,124
49,129
50,130
33,136
50,127
37,128
48,127
61,115
49,117
55,119
61,129
48,123
61,137
55,123
57,115
53,118
58,111
70,120
52,112
60,129
39,127
62,106
53,106
50,114
62,128
48,120
52,104
68,99
70,111
59,125
58,117
57,127
53,136
53,114
53,130
39,114
68,133
57,125
60,116
56,124
55,116
65,119
65,117
67,103
67,115
55,123
66,115
73,127
62,129
48,126
46,128
47,140
51,122
60,119
73,120
60,125
64,104
