at20_s21_l,is20_21_l
91,98
86,101
72,124
68,100
84,115
82,125
42,83
69,39
133,94
104,109
159,112
93,95
98,113
92,93
75,145
63,166
68,157
51,155
67,127
82,139
74,144
69,112
92,133
73,132
76,147
54,113
96,100
92,129
80,156
66,115
85,105
88,128
86,140
84,143
119,146
67,128
69,125
137,118
87,92
127,97
105,95
114,98
115,120
110,115
77,150
71,105
104,95
98,116
97,127
91,145
81,113
127,119
67,119
121,108
80,157
40,185
72,149
56,166
60,145
84,120
97,136
81,151
103,157
85,149
93,120
100,127
103,133
84,119
88,119
104,105
88,118
115,142
100,115
114,118
99,162
86,166
86,141
121,158
84,195
96,128
101,150
84,126
102,130
90,176
67,195
80,141
113,115
135,117
108,108
121,150
84,140
106,141
92,168
98,152
89,138
90,159
72,222
57,179
79,121
84,142
116,152
86,137
104,123
94,157
81,133
117,153
101,117
109,134
131,132
97,124
124,92
