at20_s25_l,is20_25_l
94,170
51,140
53,162
51,157
56,157
48,161
52,153
63,166
52,170
56,154
70,161
40,161
84,166
68,182
39,175
46,176
68,173
72,179
41,158
69,183
36,198
40,203
49,192
51,198
77,184
13,14
60,147
87,164
65,177
60,177
38,186
62,210
39,200
66,178
44,195
34,194
35,193
12,4
25,161
81,157
62,182
82,180
55,204
69,192
39,170
74,177
52,206
40,242
8,229
70,194
59,211
52,178
69,154
74,167
87,158
71,165
93,182
96,171
88,195
75,181
65,157
60,177
73,219
53,205
55,228
31,263
36,219
61,195
61,189
69,201
71,201
69,166
86,202
122,170
135,188
122,187
173,193
61,198
70,173
128,203
96,238
115,255
84,242
82,202
99,198
111,173
97,177
86,169
68,223
72,203
55,170
112,216
80,193
85,166
121,189
109,276
93,198
78,179
86,209
